date,FALSE,TRUE,Grand Total
1/1/2015,0.1402,0.8598,1
1/2/2015,0.1513,0.8487,1
1/3/2015,0.1321,0.8679,1
1/4/2015,0.1313,0.8687,1
1/5/2015,0.1515,0.8485,1
1/6/2015,0.1388,0.8612,1
1/7/2015,0.134,0.866,1
1/8/2015,0.143,0.857,1
1/9/2015,0.136,0.864,1
1/10/2015,0.1212,0.8788,1
1/11/2015,0.1131,0.8869,1
1/12/2015,0.1301,0.8699,1
1/13/2015,0.1374,0.8626,1
1/14/2015,0.1312,0.8688,1
1/15/2015,0.1351,0.8649,1
1/16/2015,0.1364,0.8636,1
1/17/2015,0.1262,0.8738,1
1/18/2015,0.1153,0.8847,1
1/19/2015,0.1133,0.8867,1
1/20/2015,0.1256,0.8744,1
1/21/2015,0.1296,0.8704,1
1/22/2015,0.1341,0.8659,1
1/23/2015,0.1384,0.8616,1
1/24/2015,0.1101,0.8899,1
1/25/2015,0.1142,0.8858,1
1/26/2015,0.144,0.856,1
1/27/2015,0.1177,0.8823,1
1/28/2015,0.1315,0.8685,1
1/29/2015,0.1358,0.8642,1
1/30/2015,0.1417,0.8583,1
1/31/2015,0.1242,0.8758,1
2/1/2015,0.118,0.882,1
2/2/2015,0.1365,0.8635,1
2/3/2015,0.1492,0.8508,1
2/4/2015,0.147,0.853,1
2/5/2015,0.1401,0.8599,1
2/6/2015,0.1382,0.8618,1
2/7/2015,0.1284,0.8716,1
2/8/2015,0.1227,0.8773,1
2/9/2015,0.1388,0.8612,1
2/10/2015,0.1382,0.8618,1
2/11/2015,0.1438,0.8562,1
2/12/2015,0.1426,0.8574,1
2/13/2015,0.1521,0.8479,1
2/14/2015,0.1454,0.8546,1
2/15/2015,0.1263,0.8737,1
2/16/2015,0.131,0.869,1
2/17/2015,0.1475,0.8525,1
2/18/2015,0.1434,0.8566,1
2/19/2015,0.1487,0.8513,1
2/20/2015,0.1431,0.8569,1
2/21/2015,0.1224,0.8776,1
2/22/2015,0.1194,0.8806,1
2/23/2015,0.1502,0.8498,1
2/24/2015,0.1504,0.8496,1
2/25/2015,0.1469,0.8531,1
2/26/2015,0.148,0.852,1
2/27/2015,0.1542,0.8458,1
2/28/2015,0.1412,0.8588,1
3/1/2015,0.1305,0.8695,1
3/2/2015,0.1515,0.8485,1
3/3/2015,0.1478,0.8522,1
3/4/2015,0.1371,0.8629,1
3/5/2015,0.1462,0.8538,1
3/6/2015,0.1465,0.8535,1
3/7/2015,0.1327,0.8673,1
3/8/2015,0.1326,0.8674,1
3/9/2015,0.1545,0.8455,1
3/10/2015,0.1529,0.8471,1
3/11/2015,0.1572,0.8428,1
3/12/2015,0.1579,0.8421,1
3/13/2015,0.1543,0.8457,1
3/14/2015,0.1332,0.8668,1
3/15/2015,0.131,0.869,1
3/16/2015,0.1536,0.8464,1
3/17/2015,0.1545,0.8455,1
3/18/2015,0.1538,0.8462,1
3/19/2015,0.1533,0.8467,1
3/20/2015,0.1481,0.8519,1
3/21/2015,0.1336,0.8664,1
3/22/2015,0.1352,0.8648,1
3/23/2015,0.1503,0.8497,1
3/24/2015,0.1492,0.8508,1
3/25/2015,0.143,0.857,1
3/26/2015,0.1463,0.8537,1
3/27/2015,0.1447,0.8553,1
3/28/2015,0.1329,0.8671,1
3/29/2015,0.134,0.866,1
3/30/2015,0.154,0.846,1
3/31/2015,0.146,0.854,1
4/1/2015,0.1528,0.8472,1
4/2/2015,0.1445,0.8555,1
4/3/2015,0.149,0.851,1
4/4/2015,0.1399,0.8601,1
4/5/2015,0.1351,0.8649,1
4/6/2015,0.1492,0.8508,1
4/7/2015,0.1448,0.8552,1
4/8/2015,0.1425,0.8575,1
4/9/2015,0.1405,0.8595,1
4/10/2015,0.1405,0.8595,1
4/11/2015,0.1293,0.8707,1
4/12/2015,0.1257,0.8743,1
4/13/2015,0.1409,0.8591,1
4/14/2015,0.1419,0.8581,1
4/15/2015,0.1415,0.8585,1
4/16/2015,0.1398,0.8602,1
4/17/2015,0.1405,0.8595,1
4/18/2015,0.1316,0.8684,1
4/19/2015,0.1261,0.8739,1
4/20/2015,0.1349,0.8651,1
4/21/2015,0.14,0.86,1
4/22/2015,0.1419,0.8581,1
4/23/2015,0.1342,0.8658,1
4/24/2015,0.1343,0.8657,1
4/25/2015,0.1237,0.8763,1
4/26/2015,0.1189,0.8811,1
4/27/2015,0.1358,0.8642,1
4/28/2015,0.1361,0.8639,1
4/29/2015,0.1354,0.8646,1
4/30/2015,0.1351,0.8649,1
5/1/2015,0.142,0.858,1
5/2/2015,0.1234,0.8766,1
5/3/2015,0.1226,0.8774,1
5/4/2015,0.1449,0.8551,1
5/5/2015,0.1387,0.8613,1
5/6/2015,0.1357,0.8643,1
5/7/2015,0.1321,0.8679,1
5/8/2015,0.1382,0.8618,1
5/9/2015,0.1286,0.8714,1
5/10/2015,0.1318,0.8682,1
5/11/2015,0.1327,0.8673,1
5/12/2015,0.1363,0.8637,1
5/13/2015,0.1336,0.8664,1
5/14/2015,0.1369,0.8631,1
5/15/2015,0.1293,0.8707,1
5/16/2015,0.1222,0.8778,1
5/17/2015,0.1172,0.8828,1
5/18/2015,0.1355,0.8645,1
5/19/2015,0.1328,0.8672,1
5/20/2015,0.1238,0.8762,1
5/21/2015,0.1342,0.8658,1
5/22/2015,0.134,0.866,1
5/23/2015,0.1354,0.8646,1
5/24/2015,0.1284,0.8716,1
5/25/2015,0.1259,0.8741,1
5/26/2015,0.1378,0.8622,1
5/27/2015,0.1297,0.8703,1
5/28/2015,0.1282,0.8718,1
5/29/2015,0.1341,0.8659,1
5/30/2015,0.1258,0.8742,1
5/31/2015,0.1228,0.8772,1
6/1/2015,0.1328,0.8672,1
6/2/2015,0.1299,0.8701,1
6/3/2015,0.1342,0.8658,1
6/4/2015,0.1347,0.8653,1
6/5/2015,0.1345,0.8655,1
6/6/2015,0.125,0.875,1
6/7/2015,0.1196,0.8804,1
6/8/2015,0.1313,0.8687,1
6/9/2015,0.1303,0.8697,1
6/10/2015,0.1363,0.8637,1
6/11/2015,0.132,0.868,1
6/12/2015,0.1336,0.8664,1
6/13/2015,0.1254,0.8746,1
6/14/2015,0.1193,0.8807,1
6/15/2015,0.1305,0.8695,1
6/16/2015,0.1315,0.8685,1
6/17/2015,0.1465,0.8535,1
6/18/2015,0.1302,0.8698,1
6/19/2015,0.1405,0.8595,1
6/20/2015,0.1344,0.8656,1
6/22/2015,0.1442,0.8558,1
6/23/2015,0.1359,0.8641,1
6/24/2015,0.1377,0.8623,1
6/25/2015,0.14,0.86,1
6/26/2015,0.1351,0.8649,1
6/27/2015,0.1221,0.8779,1
6/28/2015,0.1152,0.8848,1
6/29/2015,0.1387,0.8613,1
6/30/2015,0.1324,0.8676,1
7/1/2015,0.1196,0.8804,1
7/2/2015,0.1445,0.8555,1
7/3/2015,0.1418,0.8582,1
7/4/2015,0.1471,0.8529,1
7/5/2015,0.1392,0.8608,1
7/6/2015,0.1427,0.8573,1
7/7/2015,0.1401,0.8599,1
7/8/2015,0.1295,0.8705,1
7/9/2015,0.1349,0.8651,1
7/10/2015,0.1399,0.8601,1
7/11/2015,0.1398,0.8602,1
7/12/2015,0.1321,0.8679,1
7/13/2015,0.1617,0.8383,1
7/14/2015,0.1268,0.8732,1
7/15/2015,0.1319,0.8681,1
7/16/2015,0.1354,0.8646,1
7/17/2015,0.1419,0.8581,1
7/18/2015,0.1311,0.8689,1
7/19/2015,0.1204,0.8796,1
7/20/2015,0.1402,0.8598,1
7/21/2015,0.1316,0.8684,1
7/22/2015,0.1302,0.8698,1
7/23/2015,0.1274,0.8726,1
7/24/2015,0.1348,0.8652,1
7/25/2015,0.1292,0.8708,1
7/26/2015,0.1292,0.8708,1
7/27/2015,0.135,0.865,1
7/28/2015,0.1391,0.8609,1
7/29/2015,0.1283,0.8717,1
7/30/2015,0.1328,0.8672,1
7/31/2015,0.1405,0.8595,1
8/1/2015,0.1339,0.8661,1
8/2/2015,0.1261,0.8739,1
8/3/2015,0.1402,0.8598,1
8/4/2015,0.1277,0.8723,1
8/5/2015,0.1335,0.8665,1
8/6/2015,0.1304,0.8696,1
8/7/2015,0.1419,0.8581,1
8/8/2015,0.1305,0.8695,1
8/9/2015,0.125,0.875,1
8/10/2015,0.1381,0.8619,1
8/11/2015,0.1294,0.8706,1
8/12/2015,0.1371,0.8629,1
8/13/2015,0.1382,0.8618,1
8/14/2015,0.1418,0.8582,1
8/15/2015,0.1405,0.8595,1
8/16/2015,0.1301,0.8699,1
8/17/2015,0.1381,0.8619,1
8/18/2015,0.1381,0.8619,1
8/19/2015,0.1333,0.8667,1
8/20/2015,0.1394,0.8606,1
8/21/2015,0.1388,0.8612,1
8/22/2015,0.135,0.865,1
8/23/2015,0.1273,0.8727,1
8/24/2015,0.1348,0.8652,1
8/25/2015,0.1282,0.8718,1
8/26/2015,0.128,0.872,1
8/27/2015,0.1327,0.8673,1
8/28/2015,0.1342,0.8658,1
8/29/2015,0.1322,0.8678,1
8/30/2015,0.1367,0.8633,1
8/31/2015,0.1405,0.8595,1
9/1/2015,0.1341,0.8659,1
9/2/2015,0.1347,0.8653,1
9/3/2015,0.1391,0.8609,1
9/4/2015,0.136,0.864,1
9/5/2015,0.136,0.864,1
9/6/2015,0.1319,0.8681,1
9/7/2015,0.1264,0.8736,1
9/8/2015,0.1324,0.8676,1
9/9/2015,0.1274,0.8726,1
9/10/2015,0.1297,0.8703,1
9/11/2015,0.1378,0.8622,1
9/12/2015,0.126,0.874,1
9/13/2015,0.1218,0.8782,1
9/14/2015,0.1293,0.8707,1
9/15/2015,0.1324,0.8676,1
9/16/2015,0.1332,0.8668,1
9/17/2015,0.1373,0.8627,1
9/18/2015,0.1315,0.8685,1
9/19/2015,0.1181,0.8819,1
9/20/2015,0.111,0.889,1
9/21/2015,0.1269,0.8731,1
9/22/2015,0.1293,0.8707,1
9/23/2015,0.1289,0.8711,1
9/24/2015,0.1237,0.8763,1
9/25/2015,0.1341,0.8659,1
9/26/2015,0.1173,0.8827,1
9/27/2015,0.1161,0.8839,1
9/28/2015,0.1321,0.8679,1
9/29/2015,0.1682,0.8318,1
9/30/2015,0.1247,0.8753,1
10/1/2015,0.1316,0.8684,1
10/2/2015,0.1347,0.8653,1
10/4/2015,0.1141,0.8859,1
10/5/2015,0.1347,0.8653,1
10/6/2015,0.1289,0.8711,1
10/7/2015,0.1308,0.8692,1
10/8/2015,0.1374,0.8626,1
10/9/2015,0.1306,0.8694,1
10/10/2015,0.1261,0.8739,1
10/11/2015,0.1207,0.8793,1
10/12/2015,0.1159,0.8841,1
10/13/2015,0.1234,0.8766,1
10/14/2015,0.1252,0.8748,1
10/15/2015,0.1241,0.8759,1
10/16/2015,0.1297,0.8703,1
10/17/2015,0.1148,0.8852,1
10/18/2015,0.1224,0.8776,1
10/19/2015,0.1321,0.8679,1
10/20/2015,0.1286,0.8714,1
10/21/2015,0.1403,0.8597,1
10/22/2015,0.1254,0.8746,1
10/23/2015,0.1318,0.8682,1
10/24/2015,0.1219,0.8781,1
10/25/2015,0.1153,0.8847,1
10/26/2015,0.1246,0.8754,1
10/27/2015,0.1254,0.8746,1
10/28/2015,0.1267,0.8733,1
10/29/2015,0.1261,0.8739,1
10/30/2015,0.132,0.868,1
10/31/2015,0.1185,0.8815,1
11/1/2015,0.1144,0.8856,1
11/2/2015,0.1281,0.8719,1
11/3/2015,0.1263,0.8737,1
11/4/2015,0.1288,0.8712,1
11/5/2015,0.1298,0.8702,1
11/6/2015,0.1353,0.8647,1
11/7/2015,0.1216,0.8784,1
11/8/2015,0.1175,0.8825,1
11/9/2015,0.1269,0.8731,1
11/10/2015,0.1291,0.8709,1
11/11/2015,0.124,0.876,1
11/12/2015,0.1255,0.8745,1
11/13/2015,0.1296,0.8704,1
11/14/2015,0.1194,0.8806,1
11/15/2015,0.1187,0.8813,1
11/16/2015,0.1279,0.8721,1
11/17/2015,0.1272,0.8728,1
11/18/2015,0.1264,0.8736,1
11/19/2015,0.1295,0.8705,1
11/20/2015,0.1354,0.8646,1
11/21/2015,0.1188,0.8812,1
11/22/2015,0.1127,0.8873,1
11/23/2015,0.1335,0.8665,1
11/24/2015,0.1268,0.8732,1
11/25/2015,0.1378,0.8622,1
11/26/2015,0.1492,0.8508,1
11/27/2015,0.168,0.832,1
11/28/2015,0.1422,0.8578,1
11/29/2015,0.1295,0.8705,1
11/30/2015,0.1328,0.8672,1
12/1/2015,0.131,0.869,1
12/2/2015,0.1279,0.8721,1
12/3/2015,0.1332,0.8668,1
12/4/2015,0.1334,0.8666,1
12/5/2015,0.1204,0.8796,1
12/7/2015,0.1321,0.8679,1
12/8/2015,0.1301,0.8699,1
12/9/2015,0.1348,0.8652,1
12/10/2015,0.1333,0.8667,1
12/11/2015,0.1332,0.8668,1
12/12/2015,0.1156,0.8844,1
12/13/2015,0.1157,0.8843,1
12/14/2015,0.1311,0.8689,1
12/15/2015,0.1296,0.8704,1
12/16/2015,0.1263,0.8737,1
12/17/2015,0.1275,0.8725,1
12/18/2015,0.1268,0.8732,1
12/19/2015,0.1223,0.8777,1
12/20/2015,0.1244,0.8756,1
12/21/2015,0.1319,0.8681,1
12/22/2015,0.136,0.864,1
12/23/2015,0.1471,0.8529,1
12/24/2015,0.1701,0.8299,1
12/25/2015,0.1827,0.8173,1
12/26/2015,0.1754,0.8246,1
12/27/2015,0.162,0.838,1
12/28/2015,0.1481,0.8519,1
12/29/2015,0.1475,0.8525,1
12/30/2015,0.1536,0.8464,1
12/31/2015,0.1492,0.8508,1
1/1/2016,0.1373,0.8627,1
1/2/2016,0.139,0.861,1
1/3/2016,0.1371,0.8629,1
1/4/2016,0.1456,0.8544,1
1/5/2016,0.1367,0.8633,1
1/6/2016,0.138,0.862,1
1/7/2016,0.1421,0.8579,1
1/8/2016,0.1391,0.8609,1
1/9/2016,0.121,0.879,1
1/10/2016,0.1176,0.8824,1
1/11/2016,0.1379,0.8621,1
1/12/2016,0.1366,0.8634,1
1/13/2016,0.1366,0.8634,1
1/14/2016,0.1366,0.8634,1
1/15/2016,0.1381,0.8619,1
1/16/2016,0.1205,0.8795,1
1/17/2016,0.121,0.879,1
1/18/2016,0.1206,0.8794,1
1/19/2016,0.1325,0.8675,1
1/20/2016,0.1332,0.8668,1
1/21/2016,0.1306,0.8694,1
1/22/2016,0.1332,0.8668,1
1/23/2016,0.1347,0.8653,1
1/24/2016,0.1147,0.8853,1
1/25/2016,0.1262,0.8738,1
1/26/2016,0.1253,0.8747,1
1/27/2016,0.1275,0.8725,1
1/28/2016,0.1332,0.8668,1
1/29/2016,0.1357,0.8643,1
1/30/2016,0.121,0.879,1
1/31/2016,0.1206,0.8794,1
2/1/2016,0.1403,0.8597,1
2/2/2016,0.1347,0.8653,1
2/3/2016,0.1381,0.8619,1
2/4/2016,0.1382,0.8618,1
2/5/2016,0.1292,0.8708,1
2/6/2016,0.1193,0.8807,1
2/7/2016,0.1141,0.8859,1
2/8/2016,0.14,0.86,1
2/9/2016,0.1346,0.8654,1
2/10/2016,0.146,0.854,1
2/11/2016,0.145,0.855,1
2/12/2016,0.1431,0.8569,1
2/13/2016,0.128,0.872,1
2/14/2016,0.126,0.874,1
2/15/2016,0.1288,0.8712,1
2/16/2016,0.1368,0.8632,1
2/17/2016,0.1391,0.8609,1
2/18/2016,0.1495,0.8505,1
2/19/2016,0.1413,0.8587,1
2/20/2016,0.1296,0.8704,1
2/21/2016,0.1244,0.8756,1
2/22/2016,0.1499,0.8501,1
2/23/2016,0.1403,0.8597,1
2/24/2016,0.1431,0.8569,1
2/25/2016,0.1422,0.8578,1
2/26/2016,0.1432,0.8568,1
2/27/2016,0.1373,0.8627,1
2/28/2016,0.1271,0.8729,1
2/29/2016,0.1528,0.8472,1
3/1/2016,0.1527,0.8473,1
3/2/2016,0.1483,0.8517,1
3/3/2016,0.1455,0.8545,1
3/4/2016,0.1442,0.8558,1
3/5/2016,0.1318,0.8682,1
3/6/2016,0.1355,0.8645,1
3/7/2016,0.1538,0.8462,1
3/8/2016,0.1666,0.8334,1
3/9/2016,0.1757,0.8243,1
3/10/2016,0.1508,0.8492,1
3/11/2016,0.151,0.849,1
3/12/2016,0.1279,0.8721,1
3/13/2016,0.1302,0.8698,1
3/14/2016,0.1539,0.8461,1
3/15/2016,0.1524,0.8476,1
3/16/2016,0.1503,0.8497,1
3/17/2016,0.1489,0.8511,1
3/18/2016,0.1461,0.8539,1
3/19/2016,0.1319,0.8681,1
3/20/2016,0.1282,0.8718,1
3/21/2016,0.147,0.853,1
3/22/2016,0.1471,0.8529,1
3/23/2016,0.1461,0.8539,1
3/24/2016,0.1472,0.8528,1
3/25/2016,0.1501,0.8499,1
3/26/2016,0.1381,0.8619,1
3/27/2016,0.1358,0.8642,1
3/28/2016,0.1502,0.8498,1
3/29/2016,0.1483,0.8517,1
3/30/2016,0.1502,0.8498,1
3/31/2016,0.1428,0.8572,1
4/1/2016,0.1461,0.8539,1
4/2/2016,0.1315,0.8685,1
4/3/2016,0.1284,0.8716,1
4/4/2016,0.149,0.851,1
4/5/2016,0.1439,0.8561,1
4/6/2016,0.143,0.857,1
4/7/2016,0.1374,0.8626,1
4/8/2016,0.1427,0.8573,1
4/9/2016,0.1255,0.8745,1
4/10/2016,0.1251,0.8749,1
4/11/2016,0.145,0.855,1
4/12/2016,0.1433,0.8567,1
4/13/2016,0.1482,0.8518,1
4/14/2016,0.1389,0.8611,1
4/15/2016,0.1462,0.8538,1
4/16/2016,0.1271,0.8729,1
4/17/2016,0.1199,0.8801,1
4/18/2016,0.1502,0.8498,1
4/19/2016,0.1389,0.8611,1
4/20/2016,0.1491,0.8509,1
4/21/2016,0.139,0.861,1
4/22/2016,0.1438,0.8562,1
4/23/2016,0.1284,0.8716,1
4/24/2016,0.1229,0.8771,1
4/25/2016,0.1415,0.8585,1
4/26/2016,0.1372,0.8628,1
4/27/2016,0.1389,0.8611,1
4/28/2016,0.1361,0.8639,1
4/29/2016,0.1395,0.8605,1
4/30/2016,0.1256,0.8744,1
5/1/2016,0.1248,0.8752,1
5/2/2016,0.1375,0.8625,1
5/3/2016,0.1353,0.8647,1
5/4/2016,0.1403,0.8597,1
5/5/2016,0.1396,0.8604,1
5/6/2016,0.1384,0.8616,1
5/7/2016,0.1189,0.8811,1
5/8/2016,0.1274,0.8726,1
5/9/2016,0.1466,0.8534,1
5/10/2016,0.1605,0.8395,1
5/11/2016,0.1296,0.8704,1
5/12/2016,0.1392,0.8608,1
5/13/2016,0.139,0.861,1
5/14/2016,0.1183,0.8817,1
5/15/2016,0.117,0.883,1
5/16/2016,0.1391,0.8609,1
5/17/2016,0.1295,0.8705,1
5/18/2016,0.1203,0.8797,1
5/19/2016,0.1271,0.8729,1
5/20/2016,0.1405,0.8595,1
5/21/2016,0.1222,0.8778,1
5/22/2016,0.1074,0.8926,1
5/23/2016,0.1342,0.8658,1
5/24/2016,0.139,0.861,1
5/25/2016,0.1328,0.8672,1
5/26/2016,0.1418,0.8582,1
5/27/2016,0.1359,0.8641,1
5/28/2016,0.1379,0.8621,1
5/29/2016,0.1289,0.8711,1
5/30/2016,0.1176,0.8824,1
5/31/2016,0.1398,0.8602,1
6/1/2016,0.1464,0.8536,1
6/2/2016,0.1395,0.8605,1
6/3/2016,0.1378,0.8622,1
6/4/2016,0.1117,0.8883,1
6/5/2016,0.1112,0.8888,1
6/6/2016,0.1387,0.8613,1
6/7/2016,0.1441,0.8559,1
6/8/2016,0.1398,0.8602,1
6/9/2016,0.1387,0.8613,1
6/10/2016,0.1379,0.8621,1
6/11/2016,0.1266,0.8734,1
6/12/2016,0.1259,0.8741,1
6/13/2016,0.1406,0.8594,1
6/14/2016,0.1366,0.8634,1
6/15/2016,0.14,0.86,1
6/16/2016,0.1462,0.8538,1
6/17/2016,0.1402,0.8598,1
6/18/2016,0.141,0.859,1
6/19/2016,0.1295,0.8705,1
6/20/2016,0.1467,0.8533,1
6/21/2016,0.134,0.866,1
6/22/2016,0.1424,0.8576,1
6/23/2016,0.1384,0.8616,1
6/24/2016,0.1378,0.8622,1
6/25/2016,0.1264,0.8736,1
6/26/2016,0.1222,0.8778,1
6/27/2016,0.1355,0.8645,1
6/28/2016,0.14,0.86,1
6/29/2016,0.1405,0.8595,1
6/30/2016,0.1414,0.8586,1
